編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLLKNHMFFHF09CC,13,11.58,共有部份,鋼筋混凝土造,93年9月17日,十四層,
RPVNMLLKNHMFFHF09CC,13,9.62,共有部份,鋼筋混凝土造,93年9月17日,十四層,
RPVNMLLKNHMFFHF09CC,13,5.98,共有部份,鋼筋混凝土造,93年9月17日,十四層,
RPWNMLLKNHMFFHF56CC,16,159.35,見其他登記事項,鋼筋混凝土造,90年2月27日,十八層,
RPWNMLLKNHMFFHF56CC,16,11.31,共有部份,鋼筋混凝土造,90年2月27日,十八層,
RPWNMLLKNHMFFHF56CC,16,24.65,共有部份,鋼筋混凝土造,90年2月27日,十八層,
RPWNMLLKNHMFFHF56CC,16,41.61,共有部份,鋼筋混凝土造,90年2月27日,十八層,
RPWNMLLKNHMFFHF56CC,16,33.75,共有部份,鋼筋混凝土造,90年2月27日,十八層,
RPOPMLLKNHMFFHF58CC,,330.00,工業用,加強磚造,,三層,
RPPNMLLKNHMFFGF38CC,2,213.97,商業用,鋼筋混凝土造,104年7月2日,十九層,
RPPNMLLKNHMFFGF38CC,2,149.30,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPRNMLLKNHMFFGF58CC,27,252.32,工業用,鋼筋混凝土造,79年7月27日,十層,
RPRNMLLKNHMFFGF58CC,27,34.80,共有部份,鋼筋混凝土造,79年7月27日,十層,
RPVOMLLKNHMFFEF88CC,29,119.92,住家用,鋼筋混凝土造,77年8月17日,五層,
RPVOMLLKNHMFFEF88CC,29,2.42,共有部份,鋼筋混凝土造,77年8月17日,五層,
RPVOMLLKNHMFFEF88CC,29,9.76,見其他登記事項,鋼筋混凝土造,77年8月17日,五層,
RPOOMLLKNHMFFHF58DC,46,98.04,住家用,鋼筋混凝土造,59年12月28日,四層,
RPQOMLLKNHMFFDF38DC,17,108.63,商業用,鋼筋混凝土造,89年11月8日,十二層,
RPPNMLLKNHMFFAF97EC,30,843.79,工商用,鋼筋混凝土造,76年5月26日,三層,
RPWOMLMKNHMFFEF09CC,42,16.00,住家用,鋼筋混凝土造,64年3月26日,四層,
RPPPMLMKNHMFFEF48CC,8,81.44,住家用,鋼筋混凝土造,98年2月18日,二十二層,
RPSNMLMKNHMFFGF78CC,29,162.23,見其他登記事項,鋼筋混凝土造,76年8月27日,五層,
RPSNMLMKNHMFFGF78CC,29,126.11,見其他登記事項,鋼筋混凝土造,76年8月27日,五層,
RPSNMLMKNHMFFGF78CC,29,126.60,見其他登記事項,鋼筋混凝土造,76年8月27日,五層,
RPRPMLMKNHMFFHF98CC,33,166.98,住商用,鋼筋混凝土造,73年1月17日,十層,
