鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大安區,房地(土地+建物)+車位,臺北市大安區忠孝東路四段77巷1~30號,16.55,商,,,1060301,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051209,86.74000000000001,1,2,1,有,有,34800000,390672,塔式車位,3.55,2300000,,RPVOMLNJNHMFFFA38CA
大安區,房地(土地+建物)+車位,臺北市大安區敦化南路二段91~120號,51.7,其他,,,1060301,土地2建物1車位3,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0900522,504.45,4,1,3,有,有,151500000,300327,坡道平面,0.0,0,,RPOOMLLKNHMFFFA57CA
大安區,房地(土地+建物),臺北市大安區通化街140巷1~30號,34.63,住,,,1060301,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710403,130.85999999999999,3,2,2,有,無,25000000,191044,,0.0,0,,RPPNMLTKNHMFFFA38CA
大安區,房地(土地+建物),臺北市大安區敦化南路二段151~180號,13.54,其他,,,1060301,土地2建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740417,135.07,3,2,2,有,有,32800000,242837,,0.0,0,,RPXOMLQLNHMFFFA09CA
士林區,房地(土地+建物)+車位,臺北市士林區忠義街151~180號,37.77,住,,,1060401,土地1建物1車位2,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950704,247.88,4,2,2,有,有,40000000,188202,坡道平面,61.91,5000000,含增建或未登記建物-陽台加窗。,RPUPMLPJNHMFFEA58DA
中山區,房地(土地+建物),臺北市中山區中山北路二段93巷1~30號,4.38,商,,,1060414,土地1建物1車位0,五層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0920808,44.99,1,1,1,有,有,9500000,211158,,0.0,0,,RPOOMLLJNHMFFCA17CA
中山區,房地(土地+建物),臺北市中山區建國北路二段91~120號,16.22,住,,,1060308,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731101,139.15,3,2,2,有,有,25430000,182752,,0.0,0,含增建或未登記建物。,RPPQMLMJNHMFFCA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街61~90號,44.04,住,,,1060313,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990505,209.66,3,2,2,有,有,42380000,202137,坡道平面,28.29,0,含增建或未登記建物。,RPQQMLMJNHMFFCA67CA
中山區,房地(土地+建物),臺北市中山區樂群二路121~150號,47.09,住,,,1060314,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.47,3,2,2,有,有,23200000,149225,,0.0,0,,RPRQMLMJNHMFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路65巷1~30號,23.43,住,,,1060331,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940825,162.84,3,2,2,有,有,26700000,163965,坡道平面,0.0,0,共有人數2人。含增建或未登記建物。本案車位面積無法概算。,RPTQMLMJNHMFFCA97CA
