編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLMKNHMFFCC87CA,1,43.42,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSNMLMKNHMFFCC87CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPSNMLMKNHMFFCC87CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPSNMLMKNHMFFCC87CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPTNMLMKNHMFFCC97CA,1,166.60,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,二十二層
RPTNMLMKNHMFFCC97CA,1,1.60,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLMKNHMFFCC97CA,1,51.61,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPTNMLMKNHMFFCC97CA,1,32.33,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLMKNHMFFCC97CA,1,.03,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPTNMLMKNHMFFCC97CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLMKNHMFFCC97CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLMKNHMFFCC08CA,,95.22,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,十三層
RPUNMLMKNHMFFCC08CA,,.92,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLMKNHMFFCC08CA,,54.77,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLMKNHMFFCC08CA,,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPUNMLMKNHMFFCC08CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLMKNHMFFCC08CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVNMLMKNHMFFCC18CA,1,193.28,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,十七層
RPVNMLMKNHMFFCC18CA,1,1.86,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVNMLMKNHMFFCC18CA,1,110.71,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVNMLMKNHMFFCC18CA,1,.04,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
