鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
南區,建物,臺南市南區新城街31~60號,0.0,住,,,1060401,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土構造,0841030,276.4,1,3,5,有,無,無,23000,83,,0.0,0,,RPXNMLMJNHMFFCD58CC
中西區,建物,臺南市中西區成功路451~480號,0.0,,,,1060417,土地0建物1車位0,十三層,17,辦公商業大樓,商業用,鋼筋混凝土造,0801212,235.02,0,0,0,無,無,無,32000,136,,0.0,0,,RPUOMLMJNHMFFAD18CC
中西區,房地(土地+建物),臺南市中西區健康路一段301~330號,116.71,住,,,1060424,土地1建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),見其他登記事項,見其他登記事項,0950519,332.59,5,2,5,有,無,無,45000,135,,0.0,0,,RPTNMLMJNHMFFAD08DC
新營區,房地(土地+建物),臺南市新營區民生路163巷91~120號,126.01,住,,,1060429,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0831209,264.97,6,2,5,有,無,有,12000,45,,0.0,0,,RPQNMLMJNHMFFAR09CC
永康區,建物,臺南市永康區中華一路203巷1~30號,0.0,商,,,1060430,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871026,69.11,4,2,2,有,有,有,13000,188,,0.0,0,,RPROMLMJNHMFFHR37CC
永康區,房地(土地+建物),臺南市永康區大灣路1021~1050號,408.14,住,,,1060423,土地2建物2車位0,全,1,透天厝,住家用,加強磚造,0561001,163.24,0,0,0,無,無,無,70000,429,,0.0,0,,RPVNMLNJNHMFFHR77CC
永康區,建物,臺南市永康區六合路54巷1~30號,0.0,住,,,1060430,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0731009,110.87,6,1,4,有,無,有,18000,162,,0.0,0,,RPWNMLNJNHMFFHR87CC
東區,建物,臺南市東區大同路二段61~90號,0.0,商,,,1060401,土地0建物1車位0,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0831216,99.51,2,2,1,有,無,有,9000,90,,0.0,0,,RPOOMLNJNHMFFCD87CC
新化區,房地(土地+建物),臺南市新化區中山路631~660號,69.75,住,,,1060503,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0760326,156.29,5,2,3,有,無,無,12000,77,,0.0,0,,RPXNMLNJNHMFFER67CC
中西區,建物,臺南市中西區衛民街61~90號,0.0,住,,,1060405,土地0建物1車位1,二層,9,套房(1房1廳1衛),見其他登記事項,見其他登記事項,0950713,62.24,1,1,1,有,有,有,19000,305,坡道平面,0.23,0,,RPWNMLOJNHMFFAD48CC
永康區,建物,臺南市永康區中華二路331~360號,0.0,住,,,1060426,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970903,72.47999999999999,1,1,1,有,有,有,11000,152,,0.0,0,,RPXNMLOJNHMFFHR08CC
永康區,建物,臺南市永康區鹽行里新行街121~150號,0.0,,,,1060429,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820827,169.14999999999998,4,2,2,有,有,有,17000,101,,0.0,0,,RPQOMLPJNHMFFHR57CC
永康區,建物,臺南市永康區大橋一街31~60號,0.0,住,,,1060505,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0880824,117.54,3,2,2,有,有,有,13500,115,,0.0,0,,RPOPMLPJNHMFFHR47CC
中西區,建物,臺南市中西區頂美一街1~30號,0.0,,,,1060429,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661202,23.92,1,0,1,有,有,有,7500,314,,0.0,0,,RPUOMLPJNHMFFAD48CC
中西區,建物,臺南市中西區南門路187巷1~30號,0.0,,,,1060502,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721130,146.34,4,2,2,有,無,有,16000,109,,0.0,0,,RPQPMLPJNHMFFAD18CC
東區,建物,臺南市東區崇德路333巷23弄31~60號,0.0,,,,1060501,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0711029,91.81,3,2,2,有,無,有,12000,131,,0.0,0,,RPVNMLPJNHMFFCD68CC
東區,建物,臺南市東區林森路一段121~150號,0.0,,,,1060501,土地0建物1車位0,十四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0820609,73.31,2,1,1,有,有,無,8000,109,,0.0,0,,RPOOMLPJNHMFFCD08CC
東區,建物,臺南市東區崇明路211~240號,0.0,住,,,1060401,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0830401,112.10000000000001,3,1,2,有,有,有,12000,107,,0.0,0,,RPROMLPJNHMFFCD38CC
東區,建物,臺南市東區崇善路151~180號,0.0,住,,,1060401,土地0建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土構造,0851228,38.2,0,1,1,有,無,無,60000,1571,,0.0,0,,RPWOMLPJNHMFFCD88CC
東區,建物,臺南市東區中華東路三段211~240號,0.0,商,,,1060401,土地0建物1車位0,全,1,透天厝,商業用,見其他登記事項,0760604,208.24,0,0,0,無,無,無,120000,576,,0.0,0,,RPPOMLSJNHMFFCD48CC
東區,建物,臺南市東區富農街二段79巷1~30號,0.0,,,,1060501,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0681214,94.05,3,2,1,有,無,無,7500,80,,0.0,0,,RPXNMLTJNHMFFCD66CC
中西區,建物,臺南市中西區永福路一段1~30號,0.0,,,,1060503,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770405,70.25,3,2,1,有,無,無,6500,93,,0.0,0,,RPXNMLTJNHMFFAD09CC
北區,建物,臺南市北區文賢二街157巷1~30號,0.0,住,,,1060503,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0780907,211.59,5,2,4,有,無,有,19000,90,,0.0,0,,RPOOMLTJNHMFFAD28CC
安平區,建物,臺南市安平區慶平路361~390號,0.0,,,,1060505,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831216,21.59,1,1,1,有,有,有,6000,278,,0.0,0,,RPROMLTJNHMFFAD58CC
安平區,建物,臺南市安平區永華路二段901~930號,0.0,,,,1060506,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960111,185.2,2,2,2,有,有,有,20000,108,,0.0,0,,RPSOMLTJNHMFFAD68CC
