編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLKKNHMFFDQ66DA,37,88.63,住家用,鋼筋混凝土加強磚造,69年3月1日,二層,一層 二層
RPQNMLLKNHMFFDQ56DA,6,182.52,見其他登記事項,鋼筋混凝土造,99年11月22日,三層,一層 二層 三層 見其他登記事項
RPPNMLQLNHMFFDQ96CA,24,132.75,住商用,鋼筋混凝土造,81年12月21日,二層,一層 二層
RPQNMLNLNHMFFEQ86CA,37,185.23,住商用,鋼筋混凝土加強磚造,68年12月28日,三層,一層 二層 三層 騎樓
RPSNMLQKNHMFFBQ96CA,35,91.92,住家用,鋼筋混凝土加強磚造,71年1月5日,二層,一層 二層
RPUNMLQLNHMFFCQ37CA,,97.75,住家用,鋼筋混凝土造,105年11月24日,四層,一層 二層 三層 四層
RPUNMLQLNHMFFCQ37CA,,97.75,住家用,鋼筋混凝土造,105年11月24日,四層,一層 二層 三層 四層
RPQNMLMLNHMFFCQ56CA,49,88.62,住家用,加強磚造,57年1月15日,二層,一層 二層
RPSNMLMKNHMFFCQ66CA,38,95.60,住商用,鋼筋混凝土加強磚造,68年1月13日,二層,一層 二層 騎樓
RPQNMLPKNHMFFCQ76CA,,171.26,見其他登記事項,鋼筋混凝土造,105年12月27日,三層,一層 二層 三層 見其他登記事項
RPUNMLTKNHMFFCQ57CA,15,103.84,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,五層
RPUNMLTKNHMFFCQ57CA,15,15.40,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPUNMLTKNHMFFCQ57CA,15,33.34,停車空間,鋼筋混凝土造,91年7月25日,五層,
RPPNMLKMNHMFFCQ98CA,4,152.05,住家用,鋼筋混凝土造,102年7月1日,三層,一層 二層 三層
RPRNMLQLNHMFFEQ27CA,35,57.04,住家用,磚造,71年6月7日,一層,一層
RPPNMLPKNHMFFBQ66DA,22,163.48,住商用,見其他登記事項,84年3月20日,四層,一層 二層 三層 四層
RPQNMLKLNHMFFDQ09CA,35,79.91,住商用,鋼筋混凝土加強磚造,71年5月18日,三層,一層 二層 三層
RPRNMLOLNHMFFEQ27EA,23,172.35,住家用,鋼筋混凝土造,82年10月22日,三層,一層 二層 三層
RPSNMLLJOHMFFDQ66CA,18,124.21,住家用,鋼筋混凝土造,87年11月24日,三層,一層 二層 三層
RPPNMLRLNHMFFDQ07CA,36,95.48,住家用,鋼筋混凝土加強磚造,69年12月6日,二層,一層 二層
RPTNMLTKNHMFFBQ37CA,7,213.00,住商用,鋼筋混凝土造,98年11月11日,四層,一層 二層 三層 四層
RPTNMLTKNHMFFBQ37CA,7,.82,見其他登記事項,鋼筋混凝土造,98年11月11日,二層,一層 二層
RPVNMLTKNHMFFBQ57CA,38,57.68,住家用,鋼筋混凝土加強磚造,68年3月26日,一層,一層 騎樓
RPQNMLMKOHMFFCQ56CA,2,373.30,見其他登記事項,鋼筋混凝土造,103年11月17日,四層,一層 二層 三層 四層
RPRNMLLMNHMFFCQ66CA,10,218.69,見其他登記事項,鋼筋混凝土造,96年3月21日,四層,一層 二層 三層 四層
RPPOMLPLNHMFFCQ86CA,2,164.85,住家用,鋼筋混凝土造,103年8月15日,三層,一層 二層 三層
RPQOMLPLNHMFFCQ96CA,1,230.30,見其他登記事項,鋼筋混凝土造,105年5月19日,四層,一層 二層 三層 四層
RPQNMLRKNHMFFCQ96CA,35,94.60,住家用,鋼筋混凝土加強磚造,71年3月6日,二層,一層 二層
