鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.79000000000002,3,2,2,有,有,11250000,67048,坡道平面,0.0,0,,RPOOMLLKOHMFFCJ28CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,33.43,住,,,1060424,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,222.86,4,2,2,有,有,13490000,60531,坡道平面,0.0,0,,RPPOMLLKOHMFFCJ38CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,34.32,住,,,1060424,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,202.58999999999997,4,2,2,有,有,13530000,66785,坡道平面,0.0,0,,RPQOMLLKOHMFFCJ48CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.36,住,,,1060424,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,179.53,3,2,2,有,有,11830000,65894,坡道平面,0.0,0,,RPROMLLKOHMFFCJ58CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.94,3,2,2,有,有,11850000,67353,坡道平面,0.0,0,,RPSOMLLKOHMFFCJ68CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,192.57999999999998,3,2,2,有,有,12110000,62883,坡道平面,0.0,0,,RPTOMLLKOHMFFCJ78CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.11,住,,,1060424,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.56,3,2,2,有,有,11780000,67100,坡道平面,0.0,0,,RPUOMLLKOHMFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.36,住,,,1060424,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,179.53,3,2,2,有,有,11830000,65894,坡道平面,0.0,0,,RPVOMLLKOHMFFCJ98CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.94,3,2,2,有,有,11800000,67068,坡道平面,0.0,0,,RPWOMLLKOHMFFCJ09CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.79000000000002,3,2,2,有,有,11370000,67763,坡道平面,0.0,0,,RPXOMLLKOHMFFCJ56CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,33.54,住,,,1060424,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,198.51,4,2,2,有,有,12590000,63422,坡道平面,0.0,0,,RPOPMLLKOHMFFCJ38CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,34.32,住,,,1060424,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,202.51999999999998,4,2,2,有,有,14050000,69376,坡道平面,0.0,0,,RPPPMLLKOHMFFCJ48CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.54,住,,,1060424,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,177.85000000000002,3,2,2,有,有,11710000,65842,坡道平面,0.0,0,,RPQPMLLKOHMFFCJ58CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.78,住,,,1060424,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,176.47000000000003,3,2,2,有,有,11850000,67150,坡道平面,0.0,0,,RPSPMLLKOHMFFCJ78CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.52,住,,,1060424,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,169.84,3,2,2,有,有,11300000,66533,坡道平面,0.0,0,,RPTPMLLKOHMFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,33.43,住,,,1060424,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,198.06,4,2,2,有,有,13660000,68969,坡道平面,0.0,0,,RPUPMLLKOHMFFCJ98CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,34.32,住,,,1060424,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,202.58999999999997,4,2,2,有,有,14180000,69994,坡道平面,0.0,0,,RPVPMLLKOHMFFCJ09CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,34.32,住,,,1060424,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,202.58999999999997,4,2,2,有,有,14230000,70240,坡道平面,0.0,0,,SPVPMLLKOHMFFCJ56CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.36,住,,,1060424,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,179.57,3,2,2,有,有,11990000,66771,坡道平面,0.0,0,,RPWPMLLKOHMFFCJ56CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,200.75,3,2,2,有,有,11800000,58780,坡道平面,0.0,0,,RPXPMLLKOHMFFCJ66CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.79000000000002,3,2,2,有,有,11430000,68121,坡道平面,0.0,0,,RPOQMLLKOHMFFCJ48CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,33.43,住,,,1060424,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,198.04,4,2,2,有,有,13970000,70541,坡道平面,0.0,0,,RPPQMLLKOHMFFCJ58CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.11,住,,,1060424,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.56,3,2,2,有,有,11970000,68182,坡道平面,0.0,0,,RPQQMLLKOHMFFCJ68CA
